7.2667,0,0
11.348,0.01,0.01
12.664,0,0
34.287,0.08,0.08
39.455,0.02,0.01
45.935,0.11,0.1
60.014,0.01,0
66.145,0.04,0
68.416,0.13,0.1
76.61,0.02,0.01
83.926,0.19,0.16
85.194,0.12,0.1
86.606,0.24,0.19
87.827,0.25,0.13
88.27,0.16,0.14
90.021,0.16,0
121.47,0.44,0.21
124.02,0.34,0.26
131.74,0.75,0.33
133.36,0.23,0.05
139.95,0.97,0.58
150.45,0.7,0.36
154.43,0.67,0.29
155.8,0.7,0.09
167.93,1,0.71
171.82,0.88,0.49
171.84,0.57,0.37
172.93,0.48,0.24
179.41,0.46,0.18
202.1,1,0.43
208.7,0.78,0.38
221.9,1,1
228.12,0.96,0.42
228.6,1,0.37
231.5,1,0.52
233.7,0.98,0.71
238.09,1,0.91
246.22,0.9,0.43
254.37,1,0.48
257.76,1,0.41
261.51,1,0.87
264.04,1,0.6
265.22,0.98,0.51
265.38,0.91,0.45
267.8,0.81,0.43
273.27,0.72,0.43
280.2,0.98,0.4
317.31,1,0.6
319.36,1,0.48
327.85,1,0.91
333.33,1,1
336.24,1,0.44
338.86,1,0.57
354.86,0.98,0.53
361.21,0.99,0.55
369.33,1,0.49
371.3,1,0.68
386.03,1,0.82
393.42,1,1
429.81,1,0.56
432.37,0.99,0.54
432.41,1,0.95
433.45,1,0.63
435.45,0.96,0.48
468.91,1,0.68
521.58,1,1
579.61,1,0.93
583.1,1,0.95
670.38,1,0.87
753.49,1,1
