27.653,0.03,0.03
29.311,0,0
58.975,0.11,0.11
62.373,0.5,0.5
88.464,0.89,0.89
93.067,0.88,0.88
104.12,0.83,0.83
107.65,0.84,0.84
118.04,0.95,0.95
131.46,0.73,0.73
134.99,0.82,0.82
135.94,1,1
147.68,1,1
163.81,1,1
163.81,0.85,0.85
167.66,0.99,0.99
198.69,1,1
209.06,1,1
210.95,1,1
216.84,0.99,0.99
221.52,1,1
233.6,1,1
253.83,1,1
254.42,1,1
256.43,1,1
259.8,1,1
274.28,1,1
284.6,1,1
285.64,1,1
313.84,1,1
316.89,1,1
323.17,1,1
328.21,1,1
347.78,1,1
350.39,1,1
361.59,1,1
381.98,1,1
389.73,1,1
399.88,1,1
403.77,1,1
404.63,1,1
414.37,1,1
416.19,1,1
423.02,1,1
425.41,1,1
434.67,1,1
441.02,1,1
453.3,1,1
461.62,1,1
492.67,1,1
502.68,1,1
525.05,1,1
539.45,1,1
550.79,1,1
558.46,1,1
572.97,1,1
580.5,1,1
589.28,1,1
591.21,1,1
597.01,1,1
616.02,1,1
634.52,1,1
735.91,1,1
781.85,1,1
823.25,1,1
835.81,1,1
871.73,1,1
882.96,1,1
964.22,1,1
1060.9,1,1
