7.2667,0,0
11.348,0,0
12.664,0,0
34.287,0.1,0.08
39.455,0.03,0.03
45.935,0.13,0.09
60.014,0,0
66.145,0.02,0
68.416,0.07,0.02
76.61,0.03,0.03
83.926,0.16,0.1
85.194,0.01,0
86.606,0.16,0.08
87.827,0.11,0.04
88.27,0.22,0.17
90.021,0.01,0
121.47,0.36,0.18
124.02,0.49,0.3
131.74,0.53,0.22
133.36,0.1,0
139.95,0.69,0.31
150.45,0.7,0.37
154.43,0.49,0.22
155.8,0.4,0.02
167.93,0.99,0.62
171.82,0.69,0.5
171.84,0.64,0.36
172.93,0.31,0.2
179.41,0.35,0.19
202.1,0.95,0.47
208.7,0.71,0.41
221.9,1,0.77
228.12,0.92,0.41
228.6,0.95,0.44
231.5,0.87,0.46
233.7,0.8,0.51
238.09,0.99,0.62
246.22,0.84,0.45
254.37,0.98,0.47
257.76,0.85,0.46
261.51,0.96,0.69
264.04,1,0.54
265.22,0.88,0.49
265.38,0.85,0.46
267.8,0.79,0.49
273.27,0.76,0.44
280.2,0.82,0.42
317.31,0.99,0.67
319.36,0.96,0.49
327.85,1,0.69
333.33,1,0.89
336.24,0.94,0.46
338.86,0.97,0.57
354.86,0.92,0.52
361.21,0.93,0.56
369.33,0.98,0.56
371.3,0.96,0.68
386.03,1,0.67
393.42,1,0.98
429.81,0.99,0.68
432.37,0.95,0.61
432.41,1,0.85
433.45,0.99,0.81
435.45,0.92,0.46
468.91,0.97,0.66
521.58,1,0.97
579.61,1,0.99
583.1,1,0.92
670.38,0.99,0.89
753.49,1,1
