14.05,0,0
29.198,0.01,0.01
32.861,0,0
49.165,0,0
63.861,0,0
73.748,0.01,0
75.474,0.1,0.1
95.081,0.11,0.11
104.55,0.09,0.06
111.34,0.16,0.16
121.51,0.25,0.2
134.48,0.03,0.02
136.22,0.28,0.26
139.12,0.36,0.34
145.71,0.15,0.13
153.91,0.41,0.38
156.83,0.69,0.6
167,0.6,0.53
180.16,0.62,0.57
180.17,0.06,0.06
181.45,0.51,0.46
190.05,0.53,0.51
231.28,0.84,0.73
244.81,0.94,0.86
250.92,0.88,0.8
253.47,0.61,0.56
254.54,0.87,0.79
266.16,0.71,0.65
274.92,0.57,0.54
293.77,0.98,0.86
312.16,0.78,0.72
317.68,0.97,0.89
323.79,0.99,0.96
323.97,0.89,0.82
333.87,0.94,0.83
347.58,0.96,0.88
374.31,0.97,0.87
374.6,0.96,0.91
374.74,0.87,0.81
388.42,0.98,0.87
393.36,1,1
399.13,0.97,0.87
404.49,0.92,0.83
407.24,0.88,0.83
419.44,0.96,0.87
435.32,0.99,0.91
444.75,1,0.97
447.7,1,0.92
455.53,0.97,0.85
466.11,0.99,0.96
467.42,0.99,0.89
474.98,1,0.99
489.58,0.96,0.87
497.68,0.99,0.91
500.83,0.98,0.88
503.76,0.97,0.87
511.37,1,1
515.61,0.99,0.91
534.21,0.97,0.92
551.22,1,0.94
562.11,0.95,0.87
613.21,0.99,0.92
661.46,1,1
700.87,0.93,0.88
719.25,0.99,0.92
734.36,0.98,0.89
753.34,0.99,0.93
840.73,1,1
856.09,0.99,0.97
1253.3,1,0.97
